companies,prices,locations,published_by,floors,bedrooms,Possession,Area_sq_ft
"
Makuta Horizon
",1.38 Cr -  2.60 Cr,"

		              	
		              	
		              	
		              	
		              	
		                  	in  Kompally
		                  	,  Hyderabad
		                  
		                  
","
by Makuta Developers LLP
",,"
					              			                     					
						            	3 BHK 
					                
									
									
									
									
									Flat
									


","
	               		
						 	Possession in 2025
						
						
	               	","
					              	
					                	2135 - 2950 sqft
					                
					                
					                
					                
					              "
"
Southpride Vanora Abodes
",67.2 Lac -  4.19 Cr,"

		              	
		              	
		              	
		              	
		              	
		                  	in  Patancheru
		                  	,  Hyderabad
		                  
		                  
","
by Southpride Realty
",,"
					              	
									
									
									
									
									 Plot
									


","
	               		
						 	Possession in 2023
						
						
	               	","
					              	
					                	1440 - 9000 sqft
					                
					                
					                
					                
					              "
"
Vantage KVS Raju Towers
",71 Lac -  1.18 Cr,"

		              	
		              	
		              		
		              		
		              			
		              		
		              	
		              	
		                  	in  LB Nagar, NH  9
		                  	,  Hyderabad
		                  
		                  
","
by SRI SAI SUVIDHA DEVELOPERS
",12 Floor Plan,"
					              			                     					
						            	2 BHK 
					                
									
									
									
									
									Builder Floor
									


","
	               		
						 	Possession in 2024
						
						
	               	","
					              	
					                	1183 - 1381 sqft
					                
					                
					                
					                
					              "
"
Vasavi Ananda Nilayam
",86.4 Lac -  2.56 Cr,"

		              	
		              	
		              		
		              		
		              			
		              		
		              	
		              	
		                  	in  Saroornagar, NH  9
		                  	,  Hyderabad
		                  
		                  
","
by Vasavi Group
",10 Floor Plan,"
					              			                     					
						            	2 BHK 
					                
									
									
									
									
									Flat
									


","
	               		
						 	Possession in 2026
						
						
	               	","
					              	
					                	1330 - 1983 sqft
					                
					                
					                
					                
					              "
"
Risinia The Edge
",68.2 Lac -  1.02 Cr,"

		              	
		              	
		              		
		              		
		              			
		              		
		              	
		              	
		                  	in  Pragathi Nagar, Kukatpally
		                  	,  Hyderabad
		                  
		                  
","
by Risinia Builders
",5 Floor Plan,"
					              			                     					
						            	2 BHK 
					                
									
									
									
									
									Flat
									


","
	               		
						 	Possession in 2025
						
						
	               	","
					              	
					                	1312 - 1362 sqft
					                
					                
					                
					                
					              "
"
Constella
",3.32 Cr -  5.20 Cr,"

		              	
		              	
		              		
		              		
		              			
		              		
		              	
		              	
		                  	in  Tukkuguda, Srisailam Highway
		                  	,  Hyderabad
		                  
		                  
","
by Speed Infra Developers LLP
",10 Floor Plan,"
					              			                     					
						            	4 BHK 
					                
									
									
									
									
									Villa
									


","
	               		
						 	Possession in 2026
						
						
	               	","
					              	
					                	3500  sqft
					                
					                
					                
					                
					              "
"
Svadha Mackennas
",53.5 Lac -  84 Lac,"

		              	
		              	
		              		
		              		
		              			
		              		
		              	
		              	
		                  	in  Kollur, Outer Ring Road
		                  	,  Hyderabad
		                  
		                  
","
by Svadha Projects
",,"
					              			                     					
						            	2 BHK 
					                
									
									
									
									
									Flat
									


","
	               		
						 	Possession in 2025
						
						
	               	","
					              	
					                	1230 - 1625 sqft
					                
					                
					                
					                	(Carpet Area)
"
"
Aparna CyberHeights
",70.6 Lac -  1.24 Cr,"

		              	
		              	
		              	
		              	
		              	
		                  	in  Osman Nagar
		                  	,  Hyderabad
		                  
		                  
","
by Aparna Constructions and Estates Pvt. Ltd.
",6 Floor Plan,"
					              			                     					
						            	2 BHK 
					                
									
									
									
									
									Flat
									


","
	               		
						 	Possession in 2026
						
						
	               	","
					              	
					                	1345 - 1357 sqft
					                
					                
					                
					                
					              "
"
Shadnagar Downtown
",23.9 Lac -  36 Lac,"

		              	
		              	
		              	
		              	
		              	
		                  	in  Shadnagar
		                  	,  Hyderabad
		                  
		                  
","
by Future Acres
",,"
					              	
									
									
									
									
									 Plot
									


","
	               		
						 	Possession in 2023
						
						
	               	","
					              	
					                	1197 - 1800 sqft
					                
					                
					                
					                
					              "
"
APR Praveens Hillside
",3.69 Cr -  4.58 Cr,"

		              	
		              	
		              	
		              	
		              	
		                  	in  Bachupally
		                  	,  Hyderabad
		                  
		                  
","
by APR GROUP
",7 Floor Plan,"
					              			                     					
						            	4 BHK 
					                
									
									
									
									
									Villa
									


","
	               		
						 	Possession in 2024
						
						
	               	","
					              	
					                	3075 - 3820 sqft
					                
					                
					                
					                
					              "
"
Nandana Jewel
",30 Lac -  70 Lac,"

		              	
		              	
		              		
		              		
		              			
		              		
		              	
		              	
		                  	in  Rudraram, NH  9
		                  	,  Hyderabad
		                  
		                  
","
by Mantoor Infrastructure Private Limited
",,"
					              	
									
									
									
									
									 Plot
									


","
	               		
						 	Possession in 2024
						
						
	               	","
					              	
					                	1350 - 3150 sqft
					                
					                
					                
					                
					              "
"
HPR Avani
",37.6 Lac -  90 Lac,"

		              	
		              	
		              	
		              	
		              	
		                  	in  Kandi
		                  	,  Hyderabad
		                  
		                  
","
by Srika Projects
",,"
					              	
									
									
									
									
									 Plot
									


","
	               		
						 	Possession in 2023
						
						
	               	","
					              	
					                	1503 - 3240 sqft
					                
					                
					                
					                
					              "
"
Hi Tech Green Farms
",40 Lac -  24 Cr,"

		              	
		              	
		              	
		              	
		              	
		                  	in  Jogipet
		                  	,  Hyderabad
		                  
		                  
","
by Simha Developers
",,"
					              	
									
									
									
									
									Agricultural Land
									


","
	               		
						 	Possession in 2025
						
						
	               	","
					              	
					                	43561 - 2613649 sqft
					                
					                
					                
					                
					              "
"
Sukrithi Samprada
",36.8 Lac -  1 Cr,"

		              	
		              	
		              	
		              	
		              	
		                  	in  Sadashivpet
		                  	,  Hyderabad
		                  
		                  
","
by Subhagruha Projects India Pvt Ltd .
",,"
					              	
									
									
									
									
									 Plot
									


","
	               		
						 	Ready To Move
						
						
	               	","
					              	
					                	1323 - 3600 sqft
					                
					                
					                
					                
					              "
"
Vasavi Crown East
",70.4 Lac -  10.40 Cr,"

		              	
		              	
		              		
		              		
		              			
		              		
		              	
		              	
		                  	in  Uppal, NH 2 2
		                  	,  Hyderabad
		                  
		                  
","
by Vasavi Group
",8 Floor Plan,"
					              			                     					
						            	2 BHK 
					                
									
									
									
									
									Flat
									


","
	               		
						 	Under Construction
						
						
	               	","
					              	
					                	1235 - 2120 sqft
					                
					                
					                
					                
					              "
"
Visions Arsha
",87 Lac -  1.76 Cr,"

		              	
		              	
		              		
		              		
		              			
		              		
		              	
		              	
		                  	in  Tellapur, Outer Ring Road
		                  	,  Hyderabad
		                  
		                  
","
by Vision Infra Developers India Pvt Ltd
",11 Floor Plan,"
					              			                     					
						            	2 BHK 
					                
									
									
									
									
									Flat
									


","
	               		
						 	Possession in 2025
						
						
	               	","
					              	
					                	1390  sqft
					                
					                
					                
					                
					              "
"
Iris
",6.80 Cr -  9.33 Cr,"

		              	
		              	
		              	
		              	
		              	
		                  	in  Rai Durg
		                  	,  Hyderabad
		                  
		                  
","
by Raghava Projects
",3 Floor Plan,"
					              			                     					
						            	4 BHK 
					                
									
									
									
									
									Flat
									


","
	               		
						 	Possession in 2026
						
						
	               	","
					              	
					                	5425 - 6605 sqft
					                
					                
					                
					                
					              "
"
Vasu Sri Pride
",46.9 Lac -  64.1 Lac,"

		              	
		              	
		              		
		              		
		              			
		              		
		              	
		              	
		                  	in  Gandi Maisamma, Outer Ring Road
		                  	,  Hyderabad
		                  
		                  
","
by Vasu Sri Infra Projects
",5 Floor Plan,"
					              			                     					
						            	2 BHK 
					                
									
									
									
									
									Flat
									


","
	               		
						 	Possession in 2023
						
						
	               	","
					              	
					                	1175 - 1235 sqft
					                
					                
					                
					                
					              "
"
Capital 45
",12.59 Cr -  12.60 Cr,"

		              	
		              	
		              		
		              		
		              			
		              		
		              	
		              	
		                  	in  Financial District, Nanakram Guda
		                  	,  Hyderabad
		                  
		                  
","
by Raghava Projects
",1 Floor Plan,"
					              			                     					
						            	5 BHK 
					                
									
									
									
									
									Flat
									


","
	               		
						 	Possession in 2026
						
						
	               	","
					              	
					                	10999  sqft
					                
					                
					                
					                	(Carpet Area)
"
"
Perams Aditya Aishwarya
",26.7 Lac -  76.3 Lac,"

		              	
		              	
		              	
		              	
		              	
		                  	in  Shankarpalli Road
		                  	,  Hyderabad
		                  
		                  
","
by Peram Group
",,"
					              	
									
									
									
									
									 Plot
									


","
	               		
						 	Ready To Move
						
						
	               	","
					              	
					                	1503 - 4293 sqft
					                
					                
					                
					                
					              "
"
Anand Nilayam
",60.5 Lac -  66.5 Lac,"

		              	
		              	
		              		
		              		
		              			
		              		
		              	
		              	
		                  	in  Dilsukh Nagar, NH  9
		                  	,  Hyderabad
		                  
		                  
","
by Garuda Constructions
",7 Floor Plan,"
					              			                     					
						            	2 BHK 
					                
									
									
									
									
									Builder Floor
									


","
	               		
						 	Ready To Move
						
						
	               	","
					              	
					                	1209 - 1251 sqft
					                
					                
					                
					                
					              "
"
The Regent by Aurobindo Realty
",1.24 Cr -  1.77 Cr,"

		              	
		              	
		              	
		              	
		              	
		                  	in  Kondapur
		                  	,  Hyderabad
		                  
		                  
","
by Aurobindo Realty
",12 Floor Plan,"
					              			                     					
						            	3 BHK 
					                
									
									
									
									
									Flat
									


","
	               		
						 	Possession in 2025
						
						
	               	","
					              	
					                	980 - 1440 sqft
					                
					                
					                
					                	(Carpet Area)
"
"
Imperial Vision City
",20 Lac -  25 Lac,"

		              	
		              	
		              	
		              	
		              	
		                  	in  Zaheerabad
		                  	,  Hyderabad
		                  
		                  
","
by Seshadri Infra Developers
",,"
					              	
									
									
									
									
									 Plot
									


","
	               		
						 	Ongoing
						
						
	               	","
					              	
					                	1800 - 2250 sqft
					                
					                
					                
					                
					              "
"
Jagsons Pride
",52.1 Lac -  75.9 Lac,"

		              	
		              	
		              	
		              	
		              	
		                  	in  Suraram
		                  	,  Hyderabad
		                  
		                  
","
by Jagsons Projects
",18 Floor Plan,"
					              			                     					
						            	2 BHK 
					                
									
									
									
									
									Flat
									


","
	               		
						 	Possession in 2024
						
						
	               	","
					              	
					                	1185 - 1600 sqft
					                
					                
					                
					                
					              "
"
Signature 4
",66.2 Lac -  1.29 Cr,"

		              	
		              	
		              		
		              		
		              			
		              		
		              	
		              	
		                  	in  Tellapur, Outer Ring Road
		                  	,  Hyderabad
		                  
		                  
","
by KSR Homes
",10 Floor Plan,"
					              			                     					
						            	2 BHK 
					                
									
									
									
									
									Flat
									


","
	               		
						 	Possession in 2024
						
						
	               	","
					              	
					                	1122 - 1223 sqft
					                
					                
					                
					                
					              "
"
Royal Pavilion
",63.8 Lac -  1.66 Cr,"

		              	
		              	
		              	
		              	
		              	
		                  	in  Mokila
		                  	,  Hyderabad
		                  
		                  
","
by Nikhila Constructions and Developers
",12 Floor Plan,"
					              			                     					
						            	2 BHK 
					                
									
									
									
									
									Flat
									


","
	               		
						 	Possession in 2025
						
						
	               	","
					              	
					                	1330  sqft
					                
					                
					                
					                
					              "
"
Sreenivasam
",1.20 Cr -  1.70 Cr,"

		              	
		              	
		              	
		              	
		              	
		                  	in  Kondapur
		                  	,  Hyderabad
		                  
		                  
","
by N J R Constructions Pvt. Ltd.
",4 Floor Plan,"
					              			                     					
						            	3 BHK 
					                
									
									
									
									
									Flat
									


","
	               		
						 	Possession in 2025
						
						
	               	","
					              	
					                	1740 - 2270 sqft
					                
					                
					                
					                
					              "
"
Rukmini Pranava 101
",1.06 Cr -  1.54 Cr,"

		              	
		              	
		              		
		              		
		              			
		              		
		              	
		              	
		                  	in  LB Nagar, NH  9
		                  	,  Hyderabad
		                  
		                  
","
by Harispranava Constructions Pvt Ltd
",12 Floor Plan,"
					              			                     					
						            	2 BHK 
					                
									
									
									
									
									Flat
									


","
	               		
						 	Possession in 2025
						
						
	               	","
					              	
					                	1458 - 1510 sqft
					                
					                
					                
					                
					              "
"
Luminous Serenity
",25.4 Lac -  85 Lac,"

		              	
		              	
		              	
		              	
		              	
		                  	in  Sangareddy
		                  	,  Hyderabad
		                  
		                  
","
by Luminous Paper Co
",,"
					              	
									
									
									
									
									 Plot
									


","
	               		
						 	Possession in 2024
						
						
	               	","
					              	
					                	1350 - 4500 sqft
					                
					                
					                
					                
					              "
"
Sunrise City
",45.6 Lac -  1.20 Cr,"

		              	
		              	
		              		
		              		
		              			
		              		
		              	
		              	
		                  	in  Sultanpur, Outer Ring Road
		                  	,  Hyderabad
		                  
		                  
","
by Ridge Homes LLP
",,"
					              	
									
									
									
									
									 Plot
									


","
	               		
						 	Ready To Move
						
						
	               	","
					              	
					                	1503 - 4293 sqft
					                
					                
					                
					                
					              "
